ob_above_pip_1m,ob_above_thickness_pip_1m,ob_below_pip_1m,ob_below_thickness_pip_1m,fvg_above_pip_1m,fvg_above_size_pip_1m,fvg_below_pip_1m,fvg_below_size_pip_1m,fib_0_pip_1m,fib_236_pip_1m,fib_382_pip_1m,fib_500_pip_1m,fib_618_pip_1m,fib_786_pip_1m,fib_1000_pip_1m,vwap_pip_1m,vwap_u1_pip_1m,vwap_l1_pip_1m,vwap_u2_pip_1m,vwap_l2_pip_1m,vwap_band1_thickness_pip_1m,vwap_band2_thickness_pip_1m,vp_poc_pip_1m,vp_vah_pip_1m,vp_val_pip_1m,vp_va_thickness_pip_1m,mtf_pdh_pip_1m,mtf_pdl_pip_1m,mtf_pwh_pip_1m,mtf_pwl_pip_1m,structure_above_pip_1m,structure_above_kind_1m,structure_below_pip_1m,structure_below_kind_1m,eq_above_pip_1m,eq_above_kind_1m,eq_below_pip_1m,eq_below_kind_1m,ob_above_pip_10m,ob_above_thickness_pip_10m,ob_below_pip_10m,ob_below_thickness_pip_10m,fvg_above_pip_10m,fvg_above_size_pip_10m,fvg_below_pip_10m,fvg_below_size_pip_10m,fib_0_pip_10m,fib_236_pip_10m,fib_382_pip_10m,fib_500_pip_10m,fib_618_pip_10m,fib_786_pip_10m,fib_1000_pip_10m,vwap_pip_10m,vwap_u1_pip_10m,vwap_l1_pip_10m,vwap_u2_pip_10m,vwap_l2_pip_10m,vwap_band1_thickness_pip_10m,vwap_band2_thickness_pip_10m,vp_poc_pip_10m,vp_vah_pip_10m,vp_val_pip_10m,vp_va_thickness_pip_10m,mtf_pdh_pip_10m,mtf_pdl_pip_10m,mtf_pwh_pip_10m,mtf_pwl_pip_10m,structure_above_pip_10m,structure_above_kind_10m,structure_below_pip_10m,structure_below_kind_10m,eq_above_pip_10m,eq_above_kind_10m,eq_below_pip_10m,eq_below_kind_10m,ob_above_pip_1h,ob_above_thickness_pip_1h,ob_below_pip_1h,ob_below_thickness_pip_1h,fvg_above_pip_1h,fvg_above_size_pip_1h,fvg_below_pip_1h,fvg_below_size_pip_1h,fib_0_pip_1h,fib_236_pip_1h,fib_382_pip_1h,fib_500_pip_1h,fib_618_pip_1h,fib_786_pip_1h,fib_1000_pip_1h,vwap_pip_1h,vwap_u1_pip_1h,vwap_l1_pip_1h,vwap_u2_pip_1h,vwap_l2_pip_1h,vwap_band1_thickness_pip_1h,vwap_band2_thickness_pip_1h,vp_poc_pip_1h,vp_vah_pip_1h,vp_val_pip_1h,vp_va_thickness_pip_1h,mtf_pdh_pip_1h,mtf_pdl_pip_1h,mtf_pwh_pip_1h,mtf_pwl_pip_1h,structure_above_pip_1h,structure_above_kind_1h,structure_below_pip_1h,structure_below_kind_1h,eq_above_pip_1h,eq_above_kind_1h,eq_below_pip_1h,eq_below_kind_1h,atr_1m,volume_1m,ema9_volume_1m,trails_3m,trails_5m,trails_10m,trails_15m
76.1666666666715,15,54.8333333333285,41,48.1666666666715,15,14.8333333333285,21,85.3333333333285,33.6106666666747,107.194666666677,166.666666666672,226.138666666666,310.810666666672,418.666666666672,122.077852400354,232.156691375087,11.9990134256223,342.235530349804,98.0798255490954,220.157677949453,440.315355898907,138.506666666683,158.666666666672,36.2133333333331,194.880000000005,12585.6666666667,11841.6666666667,12769.6666666667,7465.66666666667,3.66666666667152,CHoCH,-19.3333333333285,BOS,,NONE,,NONE,253.666666666672,110,324.333333333328,150,148.666666666672,100,4.83333333332848,27,418.666666666672,217.122666666677,92.4386666666687,8.33333333332848,109.105333333326,252.577333333335,435.333333333328,237.187891427064,164.541038607102,638.916821461229,566.269968641267,1040.64575149539,803.457860068329,1606.91572013666,41.1666666667006,209.566666666768,506.133333333113,715.699999999881,12585.6666666667,11841.6666666667,12769.6666666667,7465.66666666667,6.66666666667152,CHoCH,-30.3333333333285,CHoCH,,NONE,,NONE,,,835.333333333328,546,145.666666666672,52,314.833333333328,251,435.333333333328,204.997333333333,62.5013333333336,52.6666666666715,167.834666666677,331.80266666667,540.666666666672,6332.31273595896,1801.06367015663,10863.5618017613,2730.18539564569,15394.8108675636,9062.49813160465,18124.9962632093,2637.93333333331,463.266666666677,9253.82666666666,9717.09333333334,12585.6666666667,11841.6666666667,12769.6666666667,7465.66666666667,188.666666666672,BOS,-77.3333333333285,CHoCH,,NONE,,NONE,4.13226732222939,94,55.3604356941975,0,0,0,1
37.1666666666715,39,50.8333333333285,11,,,29.8333333333285,3,207.333333333328,88.3893333333253,14.8053333333228,44.6666666666715,104.138666666666,188.810666666672,296.666666666672,25.4606826765958,127.960313590011,77.0389482368191,230.45994450344,179.538579150249,204.999261826838,409.998523653675,16.5066666666826,66.9066666666768,131.333333333328,198.240000000005,12463.6666666667,11719.6666666667,12647.6666666667,7343.66666666667,6.66666666667152,BOS,-6.33333333332848,BOS,,NONE,,NONE,131.666666666672,110,103.333333333328,58,26.6666666666715,100,65.3333333333285,18,296.666666666672,95.1226666666771,29.5613333333313,130.333333333328,231.105333333326,374.577333333335,557.333333333328,352.483640191829,42.8787516961893,747.846032079848,438.241143584222,1143.20842396788,790.724783776045,1581.44956755209,80.8333333332994,87.5666666667676,614.099999999773,701.666666666541,12463.6666666667,11719.6666666667,12647.6666666667,7343.66666666667,8.66666666667152,CHoCH,-2.33333333332848,CHoCH,,NONE,,NONE,,,957.333333333328,546,23.6666666666715,52,436.833333333328,251,557.333333333328,326.997333333333,184.501333333334,69.3333333333285,45.8346666666766,209.80266666667,418.666666666672,6454.31273595896,1923.06367015663,10985.5618017613,2608.18539564569,15516.8108675636,9062.49813160465,18124.9962632093,2759.93333333331,341.266666666677,9375.82666666666,9717.09333333334,12463.6666666667,11719.6666666667,12647.6666666667,7343.66666666667,66.6666666666715,BOS,-199.333333333328,CHoCH,,NONE,,NONE,2.98965321965933,78,37.4464598827697,0,0,0,0
143.833333333328,21,,,62.8333333333285,1,,,320.333333333328,269.829333333328,238.585333333322,213.333333333328,188.081333333335,152.129333333331,106.333333333328,343.902737924451,487.362704003928,200.442771844973,630.822670083391,56.9828057655104,286.919932158944,573.839864317887,267.65333333335,466.066666666738,90.8066666666709,375.260000000068,12777.3333333333,12033.3333333333,12961.3333333333,7657.33333333333,64.3333333333285,CHoCH,,NONE,,NONE,,NONE,305.833333333328,29,132.666666666672,150,191.333333333328,66,36.1666666666715,43,610.333333333328,408.789333333334,284.105333333326,183.333333333328,82.5613333333313,60.9106666666776,243.666666666672,32.7685065082915,356.934335328217,422.471348344799,746.637177164739,812.174190181322,779.405683673029,1558.81136734606,232.833333333358,387.200000000084,286.399999999776,673.59999999986,12777.3333333333,12033.3333333333,12961.3333333333,7657.33333333333,17.3333333333285,BOS,-370.666666666672,CHoCH,,NONE,,NONE,,,643.666666666672,546,337.333333333328,52,123.166666666672,251,243.666666666672,13.3306666666758,129.165333333323,244.333333333328,359.501333333334,523.469333333327,732.333333333328,6139.01747206161,1607.19901298892,10670.8359311343,2924.61944608376,15202.654390207,9063.63691814536,18127.2738362907,2446.26666666665,654.933333333334,9062.16,9717.09333333334,12777.3333333333,12033.3333333333,12961.3333333333,7657.33333333333,17.3333333333285,BOS,-814.666666666672,CHoCH,,NONE,,NONE,7.75667363305086,184,165.631132454432,0,0,0,0
94.8333333333285,21,,,36.8333333333285,27,,,271.333333333328,220.829333333328,189.585333333322,164.333333333328,139.081333333335,103.129333333331,57.3333333333285,292.536649800793,439.086145911613,145.987153689974,585.635642022418,0.562342420831556,293.098992221626,586.197984443253,219.733333333352,427.093333333454,68.5333333333401,358.560000000114,12728.3333333333,11984.3333333333,12912.3333333333,7608.33333333333,15.3333333333285,CHoCH,,NONE,,NONE,,NONE,256.833333333328,29,181.666666666672,150,142.333333333328,66,85.1666666666715,43,561.333333333328,359.789333333334,235.105333333326,134.333333333328,33.5613333333313,109.910666666678,292.666666666672,80.603405009635,307.742150714723,468.948960733993,696.087706439095,857.294516458365,776.691111448724,1553.38222289745,183.833333333358,338.200000000084,335.399999999776,673.59999999986,12728.3333333333,11984.3333333333,12912.3333333333,7608.33333333333,65.3333333333285,CHoCH,-31.6666666666715,BOS,,NONE,,NONE,,,692.666666666672,546,288.333333333328,52,172.166666666672,251,292.666666666672,62.3306666666758,80.1653333333234,195.333333333328,310.501333333334,474.469333333327,683.333333333328,6188.01747206161,1656.19901298892,10719.8359311343,2875.61944608376,15251.654390207,9063.63691814536,18127.2738362907,2495.26666666665,605.933333333334,9111.16,9717.09333333334,12728.3333333333,11984.3333333333,12912.3333333333,7608.33333333333,65.3333333333285,CHoCH,-31.6666666666715,BOS,,NONE,,NONE,8.32148759905712,93,138.219139816669,0,0,0,0
189.833333333328,35,,,76.3333333333285,30,,,210.333333333328,182.957333333325,166.021333333323,152.333333333328,138.645333333334,119.157333333322,94.3333333333285,395.213620425187,592.47950535985,197.947735490525,789.745390294513,0.681850555862184,394.53176986932,789.06353973864,402.866666666654,580.199999999983,78.5999999999913,501.599999999991,12909.3333333333,12165.3333333333,13093.3333333333,7789.33333333333,94.3333333333285,BOS,,NONE,,NONE,,NONE,170.833333333328,73,0.666666666671517,150,120.833333333328,3,,,742.333333333328,540.789333333334,416.105333333326,315.333333333328,214.561333333331,71.0893333333224,111.666666666672,107.355058024667,486.080751421425,271.370635372092,864.806444818169,650.096328768836,757.451386793507,1514.90277358701,364.833333333358,519.200000000084,140.366666666625,659.566666666709,12909.3333333333,12165.3333333333,13093.3333333333,7789.33333333333,102.333333333328,BOS,-238.666666666672,CHoCH,,NONE,,NONE,382.833333333328,139,511.666666666672,546,8.83333333332848,251,199.666666666672,78,111.666666666672,118.669333333324,261.165333333323,376.333333333328,491.501333333334,655.469333333327,864.333333333328,5998.95904030127,1464.64464036527,10533.2734402373,3069.66975957072,15067.5878401733,9068.628799872,18137.257599744,2314.26666666665,786.933333333334,8930.16,9717.09333333334,12909.3333333333,12165.3333333333,13093.3333333333,7789.33333333333,149.333333333328,BOS,-682.666666666672,CHoCH,,NONE,,NONE,7.39350092966914,156,104.314695636581,0,0,0,0
112.333333333328,44,80.1666666666715,39,45.8333333333285,13,,,134.333333333328,106.957333333325,90.0213333333231,76.3333333333285,62.6453333333338,43.1573333333217,18.3333333333285,272.299779903886,482.60274548849,61.9968143192818,692.905711073094,148.306151265322,420.605931169208,841.211862338417,304.093333333323,426.973333333328,95.2666666666628,522.239999999991,12833.3333333333,12089.3333333333,13017.3333333333,7713.33333333333,2.33333333332848,CHoCH,-18.6666666666715,CHoCH,,NONE,,NONE,94.8333333333285,73,76.6666666666715,150,44.8333333333285,3,,,666.333333333328,464.789333333334,340.105333333326,239.333333333328,138.561333333331,4.91066666667757,187.666666666672,35.2741627924552,406.932164027225,336.383838442314,778.59016526198,708.041839677069,743.31600246953,1486.63200493906,288.833333333358,443.200000000084,202.333333333285,645.533333333369,12833.3333333333,12089.3333333333,13017.3333333333,7713.33333333333,26.3333333333285,BOS,-314.666666666672,CHoCH,,NONE,,NONE,306.833333333328,139,587.666666666672,546,393.333333333328,52,67.1666666666715,251,187.666666666672,42.6693333333242,185.165333333323,300.333333333328,415.501333333334,579.469333333327,788.333333333328,6074.95904030127,1540.64464036527,10609.2734402373,2993.66975957072,15143.5878401733,9068.628799872,18137.257599744,2390.26666666665,710.933333333334,9006.16,9717.09333333334,12833.3333333333,12089.3333333333,13017.3333333333,7713.33333333333,73.3333333333285,BOS,-758.666666666672,CHoCH,,NONE,,NONE,7.60264015705911,99,90.2126360001609,0,0,0,0
126.333333333328,46,,,97.8333333333285,9,,,54.3333333333285,110.029333333325,144.48533333333,172.333333333328,200.181333333327,239.829333333328,290.333333333328,382.451973739182,602.331622628408,162.572324849956,822.211271517648,57.3073240392841,439.759297778461,879.518595556922,106.41333333333,529.986666666664,33.9599999999919,496.026666666672,12989.3333333333,12245.3333333333,13173.3333333333,7869.33333333333,54.3333333333285,BOS,,NONE,,NONE,,NONE,79.3333333333285,150,336.666666666672,154,200.833333333328,3,,,822.333333333328,620.789333333334,496.105333333326,395.333333333328,294.561333333331,151.089333333322,31.6666666666715,192.830549721606,561.210974906047,175.549875462835,929.591400090503,543.930300647291,736.760850368891,1473.52170073778,444.833333333358,599.200000000084,46.3333333332848,645.533333333369,12989.3333333333,12245.3333333333,13173.3333333333,7869.33333333333,182.333333333328,BOS,-158.666666666672,CHoCH,,NONE,,NONE,462.833333333328,139,431.666666666672,546,88.8333333333285,251,119.666666666672,78,31.6666666666715,198.669333333324,341.165333333323,456.333333333328,571.501333333334,735.469333333327,944.333333333328,5914.42156665528,1378.79046850925,10450.0526648013,3156.84062963679,14985.6837629473,9071.26219629207,18142.5243925841,2234.26666666665,866.933333333334,8850.16,9717.09333333334,12989.3333333333,12245.3333333333,13173.3333333333,7869.33333333333,229.333333333328,BOS,-602.666666666672,CHoCH,,NONE,,NONE,9.29245119036813,178,223.441257563124,0,0,0,0
75.6666666666715,44,29.8333333333285,41,9.16666666667152,13,62.3333333333285,4,138.333333333328,82.6373333333322,48.1813333333266,20.3333333333285,7.51466666666965,47.1626666666707,97.6666666666715,159.030793027676,376.445540886329,58.383954830977,593.860288744982,275.79870268963,434.829495717303,869.658991434606,76.0933333333232,320.560000000012,137.546666666662,458.106666666674,12796.6666666667,12052.6666666667,12980.6666666667,7676.66666666667,9.66666666667152,BOS,-18.3333333333285,BOS,,NONE,,NONE,58.1666666666715,73,52.3333333333285,86,8.16666666667152,3,,,629.666666666672,428.122666666677,303.438666666669,202.666666666672,101.894666666674,41.5773333333345,224.333333333328,1.8555990246241,365.969387243298,362.25818919405,730.083175461958,726.371977412709,728.22757643734,1456.45515287468,252.166666666701,406.533333333427,238.999999999942,645.533333333369,12796.6666666667,12052.6666666667,12980.6666666667,7676.66666666667,36.6666666666715,BOS,-10.3333333333285,BOS,,NONE,,NONE,270.166666666672,139,624.333333333328,546,147.666666666672,106,103.833333333328,251,224.333333333328,6.00266666666721,148.498666666666,263.666666666672,378.834666666677,542.80266666667,751.666666666672,6107.08823332193,1571.45713517591,10642.719331468,2964.17396297013,15178.350429614,9071.26219629207,18142.5243925841,2426.93333333331,674.266666666677,9042.82666666666,9717.09333333334,12796.6666666667,12052.6666666667,12980.6666666667,7676.66666666667,36.6666666666715,BOS,-795.333333333328,CHoCH,,NONE,,NONE,8.83119541498689,285,155.542242253094,0,0,0,0
210.5,73,,,300.5,67,,,1256,1218.24000000001,1194.88,1176,1157.12,1130.24000000001,1096,714.501707252202,1165.94622352817,263.057190976237,1617.39073980412,188.387325299715,902.889032551918,1805.77806510384,1155,1430.60000000001,254,1176.60000000001,14031,13287,14215,8911,68,BOS,,NONE,,NONE,,NONE,1197,118,,,477,76,,,1864,1662.45600000001,1537.772,1437,1336.228,1192.75599999999,1010,1209.04289338042,1591.64665775851,826.439129002334,1974.2504221366,443.835364624247,765.20752875617,1530.41505751234,1485.55999999992,1632.37333333329,938.346666666592,694.026666666701,14031,13287,14215,8911,628,BOS,,NONE,,NONE,,NONE,1504.5,139,37,164,64,38,,,1864,1662.45600000001,1537.772,1437,1336.228,1192.75599999999,1010,4840.43358282343,298.051037195793,9382.81612845107,4244.33150843185,13925.1986740787,9084.76509125527,18169.5301825105,1192.59999999998,1908.60000000001,7705.12,9613.72,14031,13287,14215,8911,359,CHoCH,-130,BOS,,NONE,,NONE,16.5214772683502,604,628.443805791189,0,0,0,0
426.833333333328,39,457.666666666672,58,,,125.166666666672,41,486.666666666672,181.282666666666,7.64133333333302,160.333333333328,313.025333333324,530.417333333331,807.333333333328,151.855510223919,572.287151248151,268.576130800313,992.718792272368,689.00777182453,840.863282048449,1681.7265640969,711.599999999991,964.666666666657,174.133333333346,1138.8,13582.3333333333,12838.3333333333,13766.3333333333,8462.33333333333,322.333333333328,BOS,-150.666666666672,BOS,,NONE,,NONE,748.333333333328,118,,,28.3333333333285,76,220.166666666672,117,1415.33333333333,1213.78933333333,1089.10533333333,988.333333333328,887.561333333331,744.089333333322,561.333333333328,743.976267616308,1142.00388460628,345.948650626335,1540.03150159626,52.0789663636388,796.055233979951,1592.1104679599,1041.14666666662,1203.06666666665,474.426666666623,728.640000000029,13582.3333333333,12838.3333333333,13766.3333333333,8462.33333333333,179.333333333328,BOS,,NONE,,NONE,,NONE,1055.83333333333,139,485.666666666672,164,573.833333333328,7,,,1415.33333333333,1213.78933333333,1089.10533333333,988.333333333328,887.561333333331,744.089333333322,561.333333333328,5270.48881001584,725.954125564589,9815.0234944671,3818.58055888665,14359.5581789183,9089.06936890249,18178.138737805,1641.26666666665,1459.93333333333,8153.78666666667,9613.72,13582.3333333333,12838.3333333333,13766.3333333333,8462.33333333333,561.333333333328,CHoCH,-9.66666666667152,CHoCH,,NONE,,NONE,13.8145399724992,3594,1125.91425071779,0,0,2,5
699.833333333328,39,184.666666666672,58,,,150.666666666672,10,213.666666666672,91.717333333334,280.641333333333,433.333333333328,586.025333333324,803.417333333331,1080.33333333333,400.425018858179,810.116281502327,9.26624378596898,1219.80754414646,418.957506430103,819.382525288282,1638.76505057656,244.573333333334,745.853333333333,218.146666666667,964,13855.3333333333,13111.3333333333,14039.3333333333,8735.33333333333,23.3333333333285,BOS,-45.6666666666715,BOS,,NONE,,NONE,1021.33333333333,118,,,52.8333333333285,117,,,1688.33333333333,1486.78933333333,1362.10533333333,1261.33333333333,1160.56133333333,1017.08933333332,834.333333333328,1012.90595485264,1412.96058544275,612.851324262534,1813.01521603286,212.796693672426,800.109261180218,1600.21852236044,1314.14666666662,1476.06666666665,733.933333333291,742.13333333336,13855.3333333333,13111.3333333333,14039.3333333333,8735.33333333333,452.333333333328,BOS,,NONE,,NONE,,NONE,1328.83333333333,139,212.666666666672,164,846.833333333328,7,,,1688.33333333333,1486.78933333333,1362.10533333333,1261.33333333333,1160.56133333333,1017.08933333332,834.333333333328,4997.48881001584,452.954125564589,9542.0234944671,4091.58055888665,14086.5581789183,9089.06936890249,18178.138737805,1368.26666666665,1732.93333333333,7880.78666666667,9613.72,13855.3333333333,13111.3333333333,14039.3333333333,8735.33333333333,183.333333333328,CHoCH,-305.666666666672,BOS,,NONE,,NONE,20.6946798742468,4164,2776.10512045939,0,0,3,5
126.833333333328,39,564.166666666672,191,,,176.166666666672,117,786.666666666672,481.282666666666,292.358666666667,139.666666666672,13.0253333333239,230.417333333331,507.333333333328,195.951353621087,163.671284149372,555.573991391546,523.293921919831,915.196629162005,719.245275540924,1438.49055108185,331.066666666666,3.53333333334012,742.146666666667,745.680000000008,13282.3333333333,12538.3333333333,13466.3333333333,8162.33333333333,22.3333333333285,BOS,-213.666666666672,CHoCH,,NONE,,NONE,448.333333333328,118,,,272.833333333328,55,19.1666666666715,159,1115.33333333333,913.789333333334,789.105333333326,688.333333333328,587.561333333331,444.089333333322,261.333333333328,417.658478403915,833.643964309682,1.67299249814823,1249.62945021543,414.312493407604,831.970971811524,1663.94194362305,741.146666666624,903.066666666651,106.959999999963,796.106666666688,13282.3333333333,12538.3333333333,13466.3333333333,8162.33333333333,134.333333333328,CHoCH,-120.666666666672,BOS,,NONE,,NONE,755.833333333328,139,785.666666666672,164,273.833333333328,7,,,1115.33333333333,913.789333333334,789.105333333326,688.333333333328,587.561333333331,444.089333333322,261.333333333328,5570.48881001584,1025.95412556459,10115.0234944671,3518.58055888665,14659.5581789183,9089.06936890249,18178.138737805,1941.26666666665,1159.93333333333,8453.78666666667,9613.72,13282.3333333333,12538.3333333333,13466.3333333333,8162.33333333333,261.333333333328,CHoCH,-309.666666666672,CHoCH,,NONE,,NONE,24.3156471757173,3018,2295.66327703281,0,0,0,0
107.5,65,,,238,24,,,930,726.567999999999,600.716,499,397.284,252.467999999993,68,479.376950027072,795.844453694808,162.909446359336,1112.31195736253,153.558057308386,632.935007335463,1265.87001467093,291.559999999998,672.58666666667,40.6399999999994,631.94666666667,14137,13393,14321,9017,39,BOS,,NONE,,NONE,,NONE,1303,118,,,446.5,141,,,1970,1768.45600000001,1643.772,1543,1442.228,1298.75599999999,1116,1150.80524611716,1655.88019638596,645.730295848363,2160.95514665474,140.65534557958,1010.14990053758,2020.29980107517,1558.66666666669,1756.72000000002,752.306666666671,1004.41333333334,14137,13393,14321,9017,734,BOS,,NONE,,NONE,,NONE,1610.5,139,508.5,417,1128.5,7,,,1970,1768.45600000001,1643.772,1543,1442.228,1298.75599999999,1116,4615.64063670725,58.5453414160729,9172.73593199842,4498.5499538751,13729.8312272896,9114.19059058236,18228.3811811647,1086.59999999998,2014.60000000001,7599.12,9613.72,14137,13393,14321,9017,465,CHoCH,-24,BOS,,NONE,,NONE,17.4405618202164,1142,921.572419264942,0,0,0,0
69.8333333333285,129,254.666666666672,32,,,45.1666666666715,19,835.666666666672,606.746666666673,465.126666666678,350.666666666672,236.206666666665,73.2466666666733,134.333333333328,402.802691369638,165.310466227384,640.294916511892,72.181758914885,877.78714165416,474.984450284517,949.968900569034,637.426666666652,214.086666666655,755.406666666662,541.320000000007,13341.3333333333,12597.3333333333,13525.3333333333,8221.33333333333,,NONE,-17.6666666666715,BOS,,NONE,,NONE,507.333333333328,118,745.666666666672,180,331.833333333328,55,267.166666666672,29,835.666666666672,361.306666666671,67.8466666666645,169.333333333328,406.513333333321,744.193333333329,1174.33333333333,300.893378837383,876.072339683393,274.285582008626,1451.2513005294,849.464542854636,1150.35792169202,2300.71584338403,796.413333333316,1137.53333333333,184.306666666671,1321.84,13341.3333333333,12597.3333333333,13525.3333333333,8221.33333333333,320.333333333328,CHoCH,-394.666666666672,CHoCH,,NONE,,NONE,814.833333333328,139,1304.16666666667,417,332.833333333328,7,,,1174.33333333333,972.789333333334,848.105333333326,747.333333333328,646.561333333331,503.089333333322,320.333333333328,5319.38955442431,756.148996286516,9882.63011256211,3807.09156185127,14445.8706706999,9126.48111627559,18252.9622325512,1882.26666666665,1218.93333333333,8291.41333333333,9510.34666666666,13341.3333333333,12597.3333333333,13525.3333333333,8221.33333333333,320.333333333328,CHoCH,-250.666666666672,CHoCH,,NONE,,NONE,8.62629861805088,1397,834.098296375501,0,0,0,0
15.3333333333285,32,106.166666666672,29,1.33333333332848,16,,,565.666666666672,336.746666666673,195.126666666678,80.6666666666715,33.7933333333349,196.753333333327,404.333333333328,117.888926155967,118.095178774529,353.873031086463,354.079283705025,589.857136016959,471.968209860987,943.936419721974,94.5333333331655,178.59999999986,364.600000000049,543.19999999991,13611.3333333333,12867.3333333333,13795.3333333333,8491.33333333333,48.3333333333285,CHoCH,-8.66666666667152,BOS,,NONE,,NONE,777.333333333328,118,475.666666666672,180,2.83333333332848,29,204.166666666672,59,565.666666666672,91.3066666666709,202.153333333335,439.333333333328,676.513333333321,1014.19333333333,1444.33333333333,542.489551913211,1124.7122546608,39.7331508343777,1706.93495740839,621.955853581967,1164.44540549518,2328.89081099037,1066.41333333333,1549.66666666666,85.6933333333291,1463.97333333333,13611.3333333333,12867.3333333333,13795.3333333333,8491.33333333333,590.333333333328,CHoCH,-124.666666666672,CHoCH,,NONE,,NONE,1084.83333333333,139,1034.16666666667,417,602.833333333328,7,170.666666666672,100,1444.33333333333,1242.78933333333,1118.10533333333,1017.33333333333,916.561333333331,773.089333333322,590.333333333328,5022.60505177255,456.056757888276,9589.15334565683,4110.49153599599,14155.7016395411,9133.09658776854,18266.1931755371,1612.26666666665,1488.93333333333,8021.41333333333,9510.34666666666,13611.3333333333,12867.3333333333,13795.3333333333,8491.33333333333,19.3333333333285,CHoCH,-60.6666666666715,CHoCH,,NONE,,NONE,11.5643277917616,1068,2288.58160824287,0,0,0,0
,,20.6666666666715,86,,,98.1666666666715,87,328.666666666672,255.742666666672,210.628666666671,174.166666666672,137.704666666672,85.7926666666754,19.6666666666715,412.896065157358,171.515917856115,654.276212458601,69.8642294451274,895.656359759843,482.760294602485,965.520589204969,219.466666666834,0.399999999892316,613.933333333363,614.333333333256,13297.3333333333,12553.3333333333,13481.3333333333,8177.33333333333,,NONE,-19.6666666666715,BOS,,NONE,,NONE,463.333333333328,118,789.666666666672,180,287.833333333328,55,518.166666666672,59,879.666666666672,405.306666666671,111.846666666665,125.333333333328,362.513333333321,700.193333333329,1130.33333333333,207.343411517853,791.607696052524,376.920873016817,1375.87198058721,961.185157551503,1168.52856906935,2337.0571381387,766.626666666663,1235.66666666666,242.520000000004,1478.18666666666,13297.3333333333,12553.3333333333,13481.3333333333,8177.33333333333,276.333333333328,CHoCH,-438.666666666672,CHoCH,,NONE,,NONE,770.833333333328,139,1348.16666666667,417,288.833333333328,7,320.166666666672,41,1130.33333333333,928.789333333334,804.105333333326,703.333333333328,602.561333333331,459.089333333322,276.333333333328,5328.29015590681,760.752333113487,9895.82797870014,3806.78548967985,14463.3658014935,9135.07564558666,18270.1512911733,1926.26666666665,1174.93333333333,8335.41333333333,9510.34666666666,13297.3333333333,12553.3333333333,13481.3333333333,8177.33333333333,276.333333333328,CHoCH,-294.666666666672,CHoCH,,NONE,,NONE,6.77524932105741,208,192.518364538758,1,1,1,1
1,86,142.5,25,,,15.5,5,307,234.076000000001,188.962,152.5,116.038,64.1260000000038,2,390.820511803948,149.110909190043,632.530114417852,92.5986934238754,874.239717031771,483.419205227816,966.838410455632,197.800000000163,22.0666666665638,592.266666666692,614.333333333256,13319,12575,13503,8199,2,BOS,-40,BOS,,NONE,,NONE,485,118,768,180,309.5,55,496.5,59,858,383.639999999999,90.179999999993,147,384.179999999993,721.860000000001,1152,229.010078184525,813.274362719196,355.254206350146,1397.53864725388,939.518490884831,1168.52856906935,2337.0571381387,788.293333333335,1257.33333333333,220.853333333333,1478.18666666666,13319,12575,13503,8199,298,CHoCH,-417,CHoCH,,NONE,,NONE,792.5,139,1326.5,417,310.5,7,298.5,41,1152,950.456000000006,825.771999999997,725,624.228000000003,480.755999999994,298,5306.62348924014,739.085666446816,9874.16131203347,3828.45215634652,14441.6991348268,9135.07564558666,18270.1512911733,1904.59999999998,1196.60000000001,8313.74666666666,9510.34666666666,13319,12575,13503,8199,298,CHoCH,-273,CHoCH,,NONE,,NONE,7.29130294098188,157,185.414691631006,0,0,0,0
1,86,142.5,25,,,15.5,5,307,234.076000000001,188.962,152.5,116.038,64.1260000000038,2,390.820511803948,149.110909190043,632.530114417852,92.5986934238754,874.239717031771,483.419205227816,966.838410455632,197.800000000163,22.0666666665638,592.266666666692,614.333333333256,13319,12575,13503,8199,2,BOS,-40,BOS,,NONE,,NONE,485,118,768,180,309.5,55,496.5,59,858,383.639999999999,90.179999999993,147,384.179999999993,721.860000000001,1152,229.010078184525,813.274362719196,355.254206350146,1397.53864725388,939.518490884831,1168.52856906935,2337.0571381387,788.293333333335,1257.33333333333,220.853333333333,1478.18666666666,13319,12575,13503,8199,298,CHoCH,-417,CHoCH,,NONE,,NONE,792.5,139,1326.5,417,310.5,7,298.5,41,1152,950.456000000006,825.771999999997,725,624.228000000003,480.755999999994,298,5306.62348924014,739.085666446816,9874.16131203347,3828.45215634652,14441.6991348268,9135.07564558666,18270.1512911733,1904.59999999998,1196.60000000001,8313.74666666666,9510.34666666666,13319,12575,13503,8199,298,CHoCH,-273,CHoCH,,NONE,,NONE,7.29130294098188,157,185.414691631006,0,0,0,0
